"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1998/12/01","00:00","1.007","0.647","0.541","0.031","0.029","-0.483","-0.534","-0.99","0"
"1999/01/01","00:00","1","0.532","0.421","-0.092","-0.096","-0.612","-0.662","-0.897","0"
"1999/02/01","00:00","0.991","0.682","0.6","0.109","0.105","-0.39","-0.428","-0.67","0"
"1999/03/01","00:00","1.038","0.578","0.51","-0.004","-0.003","-0.516","-0.561","-0.95","0"
"1999/04/01","00:00","0.895","0.61","0.543","0.05","0.045","-0.452","-0.493","-0.83","0"
"1999/05/01","00:00","1.278","0.701","0.601","0.113","0.111","-0.379","-0.408","-0.586","0"
"1999/06/01","00:00","1.032","0.635","0.535","0.048","0.042","-0.45","-0.494","-0.776","0"
"1999/07/01","00:00","1.121","0.618","0.521","0.028","0.022","-0.477","-0.52","-0.846","0"
"1999/08/01","00:00","1.571","0.711","0.62","0.113","0.108","-0.403","-0.452","-0.862","0"
"1999/09/01","00:00","1.262","0.704","0.627","0.133","0.129","-0.369","-0.408","-0.714","0"
"1999/10/01","00:00","0.913","0.617","0.532","0.045","0.04","-0.452","-0.497","-0.836","13"
"1999/11/01","00:00","0.876","0.593","0.5","-0.001","-0.006","-0.512","-0.568","-0.962","0"
"1999/12/01","00:00","0.965","0.552","0.442","-0.047","-0.051","-0.543","-0.601","-0.972","0"
"2000/01/01","00:00","1.082","0.538","0.407","-0.098","-0.097","-0.6","-0.663","-0.983","0"
"2000/02/01","00:00","0.757","0.401","0.32","-0.177","-0.178","-0.676","-0.721","-1.002","0"
"2000/03/01","00:00","1.001","0.533","0.461","-0.023","-0.027","-0.514","-0.541","-0.794","0"
"2000/04/01","00:00","1.161","0.564","0.491","-0.004","-0.008","-0.507","-0.552","-1.06","0"
"2000/05/01","00:00","1.446","0.619","0.523","0.023","0.018","-0.486","-0.54","-0.875","0"
"2000/06/01","00:00","0.948","0.565","0.456","-0.042","-0.048","-0.552","-0.589","-0.765","0"
